NAME                                                                          VERSION                                 TYPE                        
@gar/promise-retry                                                            1.0.3                                   npm                          
@isaacs/cliui                                                                 8.0.2                                   npm                          
@isaacs/fs-minipass                                                           4.0.1                                   npm                          
@isaacs/string-locale-compare                                                 1.1.0                                   npm        (+1 duplicate)    
@npmcli/agent                                                                 2.2.2                                   npm                          
@npmcli/agent                                                                 4.0.2                                   npm                          
@npmcli/arborist                                                              7.5.4                                   npm                          
@npmcli/arborist                                                              9.7.0                                   npm                          
@npmcli/config                                                                10.10.0                                 npm                          
@npmcli/config                                                                8.3.4                                   npm                          
@npmcli/fs                                                                    3.1.1                                   npm                          
@npmcli/fs                                                                    5.0.0                                   npm                          
@npmcli/git                                                                   5.0.8                                   npm                          
@npmcli/git                                                                   7.0.2                                   npm                          
@npmcli/installed-package-contents                                            2.1.0                                   npm                          
@npmcli/installed-package-contents                                            4.0.0                                   npm                          
@npmcli/map-workspaces                                                        3.0.6                                   npm                          
@npmcli/map-workspaces                                                        5.0.3                                   npm                          
@npmcli/metavuln-calculator                                                   7.1.1                                   npm                          
@npmcli/metavuln-calculator                                                   9.0.3                                   npm                          
@npmcli/name-from-folder                                                      2.0.0                                   npm                          
@npmcli/name-from-folder                                                      4.0.0                                   npm                          
@npmcli/node-gyp                                                              3.0.0                                   npm                          
@npmcli/node-gyp                                                              5.0.0                                   npm                          
@npmcli/package-json                                                          5.2.0                                   npm                          
@npmcli/package-json                                                          7.0.5                                   npm                          
@npmcli/promise-spawn                                                         7.0.2                                   npm                          
@npmcli/promise-spawn                                                         9.0.1                                   npm                          
@npmcli/query                                                                 3.1.0                                   npm                          
@npmcli/query                                                                 5.0.0                                   npm                          
@npmcli/redact                                                                2.0.1                                   npm                          
@npmcli/redact                                                                4.0.0                                   npm                          
@npmcli/run-script                                                            10.0.4                                  npm                          
@npmcli/run-script                                                            8.1.0                                   npm                          
@pkgjs/parseargs                                                              0.11.0                                  npm                          
@sigstore/bundle                                                              2.3.2                                   npm                          
@sigstore/bundle                                                              4.0.0                                   npm                          
@sigstore/core                                                                1.1.0                                   npm                          
@sigstore/core                                                                3.2.1                                   npm                          
@sigstore/protobuf-specs                                                      0.3.2                                   npm                          
@sigstore/protobuf-specs                                                      0.5.1                                   npm                          
@sigstore/sign                                                                2.3.2                                   npm                          
@sigstore/sign                                                                4.1.1                                   npm                          
@sigstore/tuf                                                                 2.3.4                                   npm                          
@sigstore/tuf                                                                 4.0.2                                   npm                          
@sigstore/verify                                                              1.2.1                                   npm                          
@sigstore/verify                                                              3.1.1                                   npm                          
@tufjs/canonical-json                                                         2.0.0                                   npm        (+1 duplicate)    
@tufjs/models                                                                 2.0.1                                   npm                          
@tufjs/models                                                                 4.1.0                                   npm                          
Json.NET                                                                      13.0.3.27908                            dotnet                       
Json.NET BSON                                                                 1.0.2.22727                             dotnet                       
Microsoft Azure Client Pipeline                                               1.5000.25.55604                         dotnet                       
Microsoft Azure.Storage.Blobs client library                                  12.2700.26.5804                         dotnet                       
Microsoft Azure.Storage.Common client library                                 12.2600.26.5804                         dotnet                       
Microsoft. VisualStudio. Validation                                           17.13.22.64880                          dotnet                       
Microsoft.AspNetCore.WebUtilities                                             8.0.2526.11225                          dotnet                       
Microsoft.Bcl.AsyncInterfaces                                                 8.0.23.53103                            dotnet                       
Microsoft.Bcl.Cryptography                                                    10.0.726.21808                          dotnet                       
Microsoft.CSharp                                                              8.0.2826.26413                          dotnet                       
Microsoft.DevTunnels.Connections                                              1.3.48.63778                            dotnet                       
Microsoft.DevTunnels.Contracts                                                1.3.48.63778                            dotnet                       
Microsoft.DevTunnels.Management                                               1.3.48.63778                            dotnet                       
Microsoft.DevTunnels.Ssh                                                      3.12.24.6034                            dotnet                       
Microsoft.DevTunnels.Ssh.Tcp                                                  3.12.24.6034                            dotnet                       
Microsoft.Extensions.DependencyInjection.Abstractions                         8.0.1024.46610                          dotnet                       
Microsoft.Extensions.Logging.Abstractions                                     8.0.1325.6609                           dotnet                       
Microsoft.Extensions.Primitives                                               8.0.23.53103                            dotnet                       
Microsoft.Net.Http.Headers                                                    8.0.2526.11225                          dotnet                       
Microsoft.VisualBasic                                                         8.0.2826.26413                          dotnet                       
Microsoft.VisualBasic.Core                                                    13.0.2826.26413                         dotnet                       
Microsoft.VisualStu qu'une validation                                         17.13.22.64880                          dotnet                       
Microsoft.VisualStudio.Validation                                             17.13.22.64880                          dotnet     (+11 duplicates)  
Microsoft.Win32.Primitives                                                    8.0.2826.26413                          dotnet                       
Microsoft.Win32.Registry                                                      8.0.2826.26413                          dotnet                       
Minimatch                                                                     2.0.0.0                                 dotnet                       
Runner.Common                                                                 2.336.0.0                               dotnet                       
Runner.Listener                                                               2.336.0.0                               dotnet                       
Runner.PluginHost                                                             2.336.0.0                               dotnet                       
Runner.Plugins                                                                2.336.0.0                               dotnet                       
Runner.Sdk                                                                    2.336.0.0                               dotnet                       
Runner.Worker                                                                 2.336.0.0                               dotnet                       
Sdk                                                                           2.336.0.0                               dotnet                       
System                                                                        8.0.2826.26413                          dotnet                       
System.AppContext                                                             8.0.2826.26413                          dotnet                       
System.Buffers                                                                8.0.2826.26413                          dotnet                       
System.ClientModel                                                            1.800.25.55302                          dotnet                       
System.Collections                                                            8.0.2826.26413                          dotnet                       
System.Collections.Concurrent                                                 8.0.2826.26413                          dotnet                       
System.Collections.Immutable                                                  8.0.2826.26413                          dotnet                       
System.Collections.NonGeneric                                                 8.0.2826.26413                          dotnet                       
System.Collections.Specialized                                                8.0.2826.26413                          dotnet                       
System.ComponentModel                                                         8.0.2826.26413                          dotnet                       
System.ComponentModel.Annotations                                             8.0.2826.26413                          dotnet                       
System.ComponentModel.DataAnnotations                                         8.0.2826.26413                          dotnet                       
System.ComponentModel.EventBasedAsync                                         8.0.2826.26413                          dotnet                       
System.ComponentModel.Primitives                                              8.0.2826.26413                          dotnet                       
System.ComponentModel.TypeConverter                                           8.0.2826.26413                          dotnet                       
System.Configuration                                                          8.0.2826.26413                          dotnet                       
System.Console                                                                8.0.2826.26413                          dotnet                       
System.Core                                                                   8.0.2826.26413                          dotnet                       
System.Data                                                                   8.0.2826.26413                          dotnet                       
System.Data.Common                                                            8.0.2826.26413                          dotnet                       
System.Data.DataSetExtensions                                                 8.0.2826.26413                          dotnet                       
System.Diagnostics.Contracts                                                  8.0.2826.26413                          dotnet                       
System.Diagnostics.Debug                                                      8.0.2826.26413                          dotnet                       
System.Diagnostics.DiagnosticSource                                           8.0.2826.26413                          dotnet                       
System.Diagnostics.EventLog                                                   10.0.726.21808                          dotnet                       
System.Diagnostics.FileVersionInfo                                            8.0.2826.26413                          dotnet                       
System.Diagnostics.Process                                                    8.0.2826.26413                          dotnet                       
System.Diagnostics.StackTrace                                                 8.0.2826.26413                          dotnet                       
System.Diagnostics.TextWriterTraceListener                                    8.0.2826.26413                          dotnet                       
System.Diagnostics.Tools                                                      8.0.2826.26413                          dotnet                       
System.Diagnostics.TraceSource                                                8.0.2826.26413                          dotnet                       
System.Diagnostics.Tracing                                                    8.0.2826.26413                          dotnet                       
System.Drawing                                                                8.0.2826.26413                          dotnet                       
System.Drawing.Primitives                                                     8.0.2826.26413                          dotnet                       
System.Dynamic.Runtime                                                        8.0.2826.26413                          dotnet                       
System.Formats.Asn1                                                           10.0.726.21808                          dotnet                       
System.Formats.Tar                                                            8.0.2826.26413                          dotnet                       
System.Globalization                                                          8.0.2826.26413                          dotnet                       
System.Globalization.Calendars                                                8.0.2826.26413                          dotnet                       
System.Globalization.Extensions                                               8.0.2826.26413                          dotnet                       
System.IO                                                                     8.0.2826.26413                          dotnet                       
System.IO.Compression                                                         8.0.2826.26413                          dotnet                       
System.IO.Compression.Brotli                                                  8.0.2826.26413                          dotnet                       
System.IO.Compression.FileSystem                                              8.0.2826.26413                          dotnet                       
System.IO.Compression.ZipFile                                                 8.0.2826.26413                          dotnet                       
System.IO.FileSystem                                                          8.0.2826.26413                          dotnet                       
System.IO.FileSystem.AccessControl                                            8.0.2826.26413                          dotnet                       
System.IO.FileSystem.DriveInfo                                                8.0.2826.26413                          dotnet                       
